iter	Passed	Remaining
424	1338	1810
425	1341	1807
426	1344	1803
427	1347	1800
428	1350	1798
429	1353	1794
430	1356	1791
431	1359	1787
432	1362	1784
433	1365	1781
434	1368	1777
435	1371	1774
436	1374	1771
437	1377	1767
438	1380	1764
439	1383	1761
440	1386	1757
441	1389	1754
442	1392	1751
443	1395	1747
444	1398	1744
445	1402	1741
446	1405	1738
447	1408	1735
448	1411	1731
449	1414	1728
450	1417	1725
451	1420	1722
452	1423	1718
453	1426	1715
454	1429	1711
455	1432	1708
456	1435	1705
457	1438	1702
458	1441	1698
459	1444	1695
460	1447	1692
461	1450	1689
462	1454	1686
463	1457	1683
464	1460	1680
465	1463	1676
466	1466	1673
467	1469	1670
468	1472	1667
469	1475	1663
470	1478	1660
471	1481	1656
472	1484	1653
473	1487	1650
474	1490	1647
475	1493	1643
476	1496	1640
477	1499	1637
478	1502	1634
479	1505	1630
480	1508	1627
481	1511	1624
482	1514	1620
483	1517	1617
484	1520	1614
485	1523	1611
486	1526	1607
487	1529	1604
488	1532	1601
489	1535	1598
490	1538	1595
491	1541	1591
492	1544	1588
493	1547	1585
494	1551	1582
495	1554	1579
496	1557	1576
497	1560	1572
498	1563	1569
499	1566	1566
500	1569	1563
501	1572	1560
502	1575	1556
503	1578	1553
504	1581	1550
505	1585	1547
506	1588	1544
507	1591	1541
508	1594	1538
509	1597	1534
510	1600	1531
511	1603	1528
512	1607	1525
513	1610	1522
514	1613	1519
515	1616	1516
516	1619	1512
517	1622	1509
518	1625	1506
519	1628	1503
520	1631	1500
521	1634	1496
522	1637	1493
523	1640	1490
524	1643	1487
525	1647	1484
526	1650	1481
527	1653	1477
528	1655	1474
529	1659	1471
530	1662	1468
531	1665	1465
532	1668	1462
533	1671	1458
534	1674	1455
535	1677	1452
536	1681	1449
537	1684	1446
538	1687	1442
539	1690	1439
540	1693	1436
541	1696	1433
542	1699	1430
543	1702	1426
544	1705	1423
545	1708	1420
546	1711	1417
547	1714	1413
548	1717	1410
549	1720	1407
550	1723	1404
551	1726	1401
552	1729	1398
553	1732	1394
554	1735	1391
555	1738	1388
556	1741	1385
557	1744	1381
558	1747	1378
559	1750	1375
560	1753	1371
561	1756	1368
562	1759	1365
563	1762	1362
564	1765	1359
565	1768	1356
566	1771	1353
567	1774	1349
568	1777	1346
569	1781	1343
570	1784	1340
571	1787	1337
572	1790	1334
573	1794	1332
574	1797	1328
575	1800	1325
576	1804	1322
577	1807	1319
578	1810	1316
579	1813	1312
580	1816	1309
581	1819	1306
582	1822	1303
583	1824	1299
584	1827	1296
585	1831	1293
586	1834	1290
587	1836	1287
588	1839	1283
589	1842	1280
590	1845	1277
591	1849	1274
592	1852	1271
593	1855	1268
594	1858	1264
595	1861	1261
596	1864	1258
597	1867	1255
598	1870	1252
599	1873	1249
600	1876	1245
601	1879	1242
602	1882	1239
603	1885	1236
604	1888	1233
605	1891	1229
606	1894	1226
607	1897	1223
608	1900	1220
609	1903	1217
610	1907	1214
611	1909	1210
612	1912	1207
613	1915	1204
614	1919	1201
615	1922	1198
616	1925	1194
617	1928	1192
618	1931	1188
619	1934	1185
620	1937	1182
621	1940	1179
622	1943	1176
623	1946	1172
624	1949	1169
625	1953	1166
626	1956	1163
627	1959	1160
628	1962	1157
629	1965	1154
630	1968	1150
631	1971	1147
632	1974	1144
633	1977	1141
634	1980	1138
635	1983	1135
636	1986	1131
637	1989	1128
638	1992	1125
639	1995	1122
640	1998	1119
641	2001	1116
642	2004	1113
643	2007	1109
644	2010	1106
645	2013	1103
646	2017	1100
647	2020	1097
648	2023	1094
649	2026	1091
650	2029	1088
651	2032	1085
652	2035	1081
653	2038	1078
654	2041	1075
655	2044	1072
656	2047	1069
657	2050	1065
658	2053	1062
659	2057	1059
660	2060	1056
661	2063	1053
662	2066	1050
663	2069	1047
664	2072	1043
665	2075	1040
666	2078	1037
667	2081	1034
668	2084	1031
669	2087	1028
670	2091	1025
671	2094	1022
672	2097	1019
673	2100	1015
674	2103	1012
675	2106	1009
676	2109	1006
677	2112	1003
678	2115	999
679	2118	996
680	2120	993
681	2124	990
682	2126	987
683	2130	984
684	2132	980
685	2135	977
686	2138	974
687	2141	971
688	2144	968
689	2147	964
690	2150	961
691	2153	958
692	2156	955
693	2159	952
694	2162	949
695	2165	946
696	2168	942
697	2171	939
698	2174	936
699	2177	933
700	2180	930
701	2183	927
702	2186	923
703	2189	920
704	2192	917
705	2195	914
706	2198	911
707	2201	908
708	2204	904
709	2207	901
710	2210	898
711	2213	895
712	2216	892
713	2220	889
714	2223	886
715	2226	882
716	2229	879
717	2232	876
718	2235	873
719	2238	870
720	2241	867
721	2243	864
722	2246	860
723	2250	857
724	2253	854
725	2256	851
726	2259	848
727	2262	845
728	2265	842
729	2268	839
730	2271	836
731	2274	832
732	2277	829
733	2280	826
734	2283	823
735	2286	820
736	2289	816
737	2292	813
738	2295	810
739	2298	807
740	2301	804
741	2304	801
742	2307	798
743	2310	794
744	2313	791
745	2316	788
746	2319	785
747	2322	782
748	2325	779
749	2328	776
750	2331	772
751	2334	769
752	2337	766
753	2340	763
754	2343	760
755	2346	757
756	2349	754
757	2351	750
758	2354	747
759	2357	744
760	2360	741
761	2363	738
762	2366	735
763	2369	732
764	2372	728
765	2375	725
766	2378	722
767	2382	719
768	2385	716
769	2388	713
770	2391	710
771	2394	707
772	2397	704
773	2400	700
774	2403	697
775	2406	694
776	2409	691
777	2412	688
778	2415	685
779	2418	682
780	2421	678
781	2424	675
782	2427	672
783	2430	669
784	2433	666
785	2436	663
786	2439	660
787	2442	657
788	2445	653
789	2448	650
790	2450	647
791	2453	644
792	2456	641
793	2459	638
794	2462	635
795	2465	631
796	2468	628
797	2471	625
798	2474	622
799	2477	619
800	2480	616
801	2483	613
802	2486	610
803	2490	607
804	2493	604
805	2496	600
806	2499	597
807	2502	594
808	2505	591
809	2508	588
810	2511	585
811	2514	582
812	2517	579
813	2520	576
814	2523	572
815	2526	569
816	2529	566
817	2532	563
818	2535	560
819	2538	557
820	2541	554
821	2544	551
822	2548	548
823	2551	544
824	2554	541
825	2557	538
826	2559	535
827	2563	532
828	2565	529
829	2568	526
830	2571	523
831	2574	519
832	2577	516
833	2580	513
834	2583	510
835	2586	507
836	2590	504
837	2593	501
838	2596	498
839	2599	495
840	2602	492
841	2605	488
842	2608	485
843	2612	482
844	2615	479
845	2618	476
846	2622	473
847	2625	470
848	2628	467
849	2631	464
850	2633	461
851	2636	458
852	2639	454
853	2642	451
854	2645	448
855	2648	445
856	2651	442
857	2654	439
858	2657	436
859	2660	433
860	2663	430
861	2666	426
862	2670	423
863	2673	420
864	2676	417
865	2679	414
866	2682	411
867	2685	408
868	2688	405
869	2692	402
870	2695	399
871	2697	396
872	2700	392
873	2703	389
874	2706	386
875	2709	383
876	2712	380
877	2715	377
878	2718	374
879	2721	371
880	2724	368
881	2727	364
882	2730	361
883	2733	358
884	2736	355
885	2739	352
886	2742	349
887	2745	346
888	2748	343
889	2751	340
890	2754	336
891	2757	333
892	2760	330
893	2763	327
894	2766	324
895	2769	321
896	2772	318
897	2775	315
898	2778	312
899	2781	309
900	2784	305
901	2786	302
902	2789	299
903	2792	296
904	2796	293
905	2799	290
906	2802	287
907	2805	284
908	2808	281
909	2811	278
910	2814	274
911	2817	271
912	2820	268
913	2823	265
914	2827	262
915	2830	259
916	2832	256
917	2835	253
918	2838	250
919	2841	247
920	2844	244
921	2847	240
922	2850	237
923	2853	234
924	2856	231
925	2860	228
926	2863	225
927	2866	222
928	2869	219
929	2872	216
930	2875	213
931	2878	210
932	2881	206
933	2884	203
934	2887	200
935	2890	197
936	2893	194
937	2896	191
938	2899	188
939	2902	185
940	2905	182
941	2908	179
942	2911	175
943	2914	172
944	2917	169
945	2920	166
946	2923	163
947	2926	160
948	2929	157
949	2932	154
950	2935	151
951	2938	148
952	2941	145
953	2944	141
954	2947	138
955	2950	135
956	2953	132
957	2956	129
958	2959	126
959	2962	123
960	2966	120
961	2969	117
962	2972	114
963	2975	111
964	2978	108
965	2981	104
966	2984	101
967	2987	98
968	2990	95
969	2993	92
970	2997	89
971	3002	86
972	3006	83
973	3011	80
974	3015	77
975	3020	74
976	3023	71
977	3026	68
978	3029	64
979	3032	61
980	3036	58
981	3038	55
982	3041	52
983	3045	49
984	3047	46
985	3050	43
986	3053	40
987	3056	37
988	3059	34
989	3062	30
990	3065	27
991	3069	24
992	3072	21
993	3075	18
994	3078	15
995	3081	12
996	3084	9
997	3087	6
998	3090	3
999	3093	0
