iter	Logloss
0	0.6890800282
1	0.6861132345
2	0.6831135121
3	0.680689089
4	0.6779375693
5	0.6748403309
6	0.6719996403
7	0.669997258
8	0.6669681978
9	0.6640865442
10	0.6616343272
11	0.6577413271
12	0.6558011191
13	0.6545850403
14	0.6527833187
15	0.6495933029
16	0.6476300769
17	0.6456690627
18	0.6438083409
19	0.6422087282
20	0.6388353106
21	0.6371620432
22	0.6338225948
23	0.6317361587
24	0.6293325966
25	0.6271148969
26	0.6248981705
27	0.6226886062
28	0.6202838072
29	0.6183365019
30	0.6158551647
31	0.6136601015
32	0.6123105321
33	0.6101334274
34	0.6068647259
35	0.6050915104
36	0.6028515865
37	0.6013295316
38	0.5993512407
39	0.5972529332
40	0.5949107212
41	0.5931306953
42	0.5916399778
43	0.5898460426
44	0.5877830293
45	0.5847926738
46	0.5826912075
47	0.5790753651
48	0.5776014787
49	0.5758800295
50	0.5738200414
51	0.5716684585
52	0.5691494688
53	0.5669175846
54	0.565294869
55	0.5636699559
56	0.5620390431
57	0.5604097339
58	0.5579453536
59	0.5552388924
60	0.5520163714
61	0.5496958261
62	0.5475924872
63	0.5454197681
64	0.5440337516
65	0.5429257666
66	0.5399005586
67	0.5391803868
68	0.5373643133
69	0.5362523152
70	0.5353678356
71	0.534236291
72	0.5331746272
73	0.5321453532
74	0.5309447073
75	0.5299229688
76	0.5281537143
77	0.5260145542
78	0.5241927891
79	0.5217327523
80	0.5204086472
81	0.5185841752
82	0.5159902301
83	0.5141277381
84	0.5124347994
85	0.5106609255
86	0.5084694009
87	0.5059853648
88	0.5045139137
89	0.5033904033
90	0.5011222343
91	0.5001188552
92	0.4983341442
93	0.4963822506
94	0.4950961083
95	0.4927404567
96	0.4904201203
97	0.4892262697
98	0.4871854717
99	0.4848862794
100	0.483809524
101	0.4822944266
102	0.4807052984
103	0.4787935706
104	0.4770782233
105	0.4743496139
106	0.4728519227
107	0.4722285234
108	0.4703178393
109	0.4693621653
110	0.4678666194
111	0.4667482852
112	0.4638871694
113	0.4620586444
114	0.4604909046
115	0.4589556989
116	0.4572473812
117	0.4555822822
118	0.4544603487
119	0.4526350937
120	0.4512455072
121	0.4496924675
122	0.4481232146
123	0.4468958961
124	0.4448953943
125	0.4432424996
126	0.4413293932
127	0.4392044761
128	0.4368563864
129	0.4350926289
130	0.4329897416
131	0.4313372326
132	0.4288979092
133	0.4274788764
134	0.4255505992
135	0.4239882657
136	0.4227197743
137	0.421617472
138	0.4207558133
139	0.4190054924
140	0.4177966911
141	0.4171556038
142	0.415743086
143	0.4144269578
144	0.4121369694
145	0.4102043182
146	0.4091075473
147	0.4074498492
148	0.4056450452
149	0.4046531167
150	0.4040331106
151	0.4028590319
152	0.4017661457
153	0.4000225782
154	0.3970412326
155	0.3954054613
156	0.3937854164
157	0.392109001
158	0.3902666579
159	0.3891980005
160	0.3875438593
161	0.3848559691
162	0.3833203572
163	0.3824887669
164	0.3813814577
165	0.3798576392
166	0.3779888968
167	0.3771729981
168	0.3758896025
169	0.3743213397
170	0.3726762259
171	0.3714777791
172	0.3698454923
173	0.3681819893
174	0.3673523855
175	0.3655719889
176	0.3641380768
177	0.3627735073
178	0.3617324725
179	0.3607952979
180	0.3598021991
181	0.3586190591
182	0.3577823259
183	0.3559906735
184	0.3545603559
185	0.3532841918
186	0.3522903705
187	0.3509444747
188	0.3493032796
189	0.3477598215
190	0.3459146025
191	0.3450492217
192	0.3434023837
193	0.3419999631
194	0.3405403802
195	0.3388115424
196	0.337287467
197	0.3358474039
198	0.3340516654
199	0.3322386034
200	0.3307325037
201	0.3290294385
202	0.327451703
203	0.3255098974
204	0.3241529628
205	0.3220387363
206	0.320617202
207	0.3187371658
208	0.3172404567
209	0.3149907851
210	0.313863056
211	0.311827553
212	0.3105124391
213	0.3087010164
214	0.307236496
215	0.3060290359
216	0.3050222495
217	0.3031294861
218	0.3016501357
219	0.2999988867
220	0.2983455673
221	0.2970111687
222	0.2956165541
223	0.2947557656
224	0.2931732112
225	0.2919975771
226	0.2908792072
227	0.2891382634
228	0.2877131917
229	0.286419419
230	0.2850319139
231	0.2840178467
232	0.2831657557
233	0.2818715754
234	0.2811387868
235	0.2802479567
236	0.2791982408
237	0.2782072882
238	0.2767129094
239	0.2756804626
240	0.2744934704
241	0.2732662415
242	0.2717807691
243	0.2703705159
244	0.2690263426
245	0.2674438975
246	0.2666313141
247	0.2651066989
248	0.2635166147
249	0.2618197883
250	0.26050242
251	0.2595776571
252	0.2586465178
253	0.2575832992
254	0.2565136366
255	0.25481103
256	0.2535635038
257	0.2520615656
258	0.2511441783
259	0.2500802341
260	0.2491845797
261	0.248541329
262	0.2473913368
263	0.2457383272
264	0.2441556908
265	0.2433266923
266	0.242431008
267	0.2411126479
268	0.2398300911
269	0.2385572865
270	0.2375197905
271	0.236363935
272	0.2356340364
273	0.2347018561
274	0.2334820206
275	0.2327291741
276	0.2320638497
277	0.2312020397
278	0.2299213934
279	0.2285142117
280	0.2274126259
281	0.2264977407
282	0.2253071781
283	0.2242656492
284	0.2229313568
285	0.222119199
286	0.2213931752
287	0.2203465925
288	0.2196798071
289	0.2190057071
290	0.2178520494
291	0.2165691586
292	0.215607311
293	0.2149689764
294	0.214558769
295	0.21328844
296	0.2125108249
297	0.2117057546
298	0.2106944637
299	0.2095971586
300	0.2085981263
301	0.2078169681
302	0.2069014364
303	0.2058696129
304	0.204989396
305	0.2041935716
306	0.2030207953
307	0.2024547696
308	0.2016221623
309	0.2006889293
310	0.1995361373
311	0.1982592282
312	0.1977578192
313	0.196819029
314	0.1958555701
315	0.1952511875
316	0.1940639054
317	0.1929145639
318	0.1921356804
319	0.1913833568
320	0.1908928026
321	0.1902596603
322	0.1892254707
323	0.1887434991
324	0.1880476201
325	0.1873314767
326	0.1868270912
327	0.1858556606
328	0.1848297609
329	0.1842564176
330	0.1838332903
331	0.1834594264
332	0.1829610614
333	0.1819377812
334	0.1811910666
335	0.1805416271
336	0.1797869745
337	0.1790012129
338	0.1782611345
339	0.1773016084
340	0.1761682778
341	0.1751960875
342	0.1743223192
343	0.1737008785
344	0.1731748296
345	0.1721036569
346	0.1715098485
347	0.1709944812
348	0.1703766417
349	0.1698488824
350	0.1690505127
351	0.1682077321
352	0.1674287752
353	0.1666842503
354	0.1656380299
355	0.1650738838
356	0.1642488319
357	0.1637532833
358	0.1630711909
359	0.1626407423
360	0.1621062279
361	0.1613607293
362	0.1607591399
363	0.1601819613
364	0.1595732994
365	0.1584744331
366	0.1579695603
367	0.1571244565
368	0.1564089748
369	0.1553506673
370	0.1546845421
371	0.153975882
372	0.1535243462
373	0.1528335646
374	0.1521603432
375	0.1517084476
376	0.1512910457
377	0.1507312012
378	0.1501308386
379	0.1495431842
380	0.1488636018
381	0.1481594289
382	0.1478090465
383	0.1470953602
384	0.1464156883
385	0.1458683688
386	0.1451887045
387	0.1447558541
388	0.1442655439
389	0.1439402828
390	0.1434992262
391	0.1430243296
392	0.142494517
393	0.1420751788
394	0.1412130584
395	0.1408392174
396	0.1404786016
397	0.1400559255
398	0.139851975
399	0.1393166611
400	0.1391319218
401	0.1386774867
402	0.1381935049
403	0.1373929095
404	0.1369553811
405	0.1362511234
406	0.1357052087
407	0.1352636846
408	0.1346498283
409	0.1340655401
410	0.1335247953
411	0.1329521078
412	0.1324570393
413	0.1321035229
414	0.131504863
415	0.1310683779
416	0.1306666016
417	0.1301570082
418	0.1295589222
419	0.1288809074
420	0.1286399724
421	0.1280421976
422	0.1275830632
423	0.1269765315
424	0.1262168226
425	0.1257784777
426	0.125327034
427	0.1248170578
428	0.1243639929
429	0.1238016949
430	0.1233809315
431	0.1227930232
432	0.1223282502
433	0.1219850255
434	0.1212596874
435	0.12070283
436	0.1201266291
437	0.1197370416
438	0.1195194029
439	0.1188032757
440	0.1184356038
441	0.1182064997
442	0.1177524063
443	0.1170354323
444	0.116520213
445	0.1160348076
446	0.1156087525
447	0.1151938357
448	0.1148093753
449	0.1143423986
450	0.1137458591
451	0.1135944242
452	0.1132041778
453	0.1127349118
454	0.1123952614
455	0.1119494379
456	0.1113640014
457	0.110936597
458	0.1105156754
459	0.1100563639
460	0.1096273395
461	0.1092801948
